Incident_Type,Incident_Description,Language,Risk_Level,Incident_Risk_Percentage,Priority_Level,Children_Involved,Weapon_Mentioned,AI_Confidence_Score
Economic Abuse,Kinuha niya ang ATM ko at hindi ako binibigyan ng pera para sa gatas ng bata.,Tagalog,High,78,P2,Yes,No,93
Physical Abuse,Tinulak niya ako habang karga ko ang anak namin; muntik kaming matumba.,Tagalog,Critical,90,P1,Yes,No,96
Elder Abuse,Inawat na so pensyon na lolo; kulang so pagkain na ipapainom ya ipapakain.,Pangasinan,High,78,P2,No,No,88
Psychological Abuse,Lagi niyang sinasabi na wala akong silbi at mas mabuti pa raw mawala na lang ako sa bahay.,Tagalog,High,74,P2,No,No,92
Psychological Abuse,He keeps checking my location and accuses me of cheating; I feel constantly anxious.,English,Medium,68,P2,No,No,91
Physical Abuse,Sinampal niya ako at hinablot ang buhok ko; nakita ito ng kapatid ko.,Tagalog,High,86,P1,No,No,94
Sexual Abuse,He used threats to pressure me into intimacy; I felt unsafe in my own home.,English,High,85,P1,No,No,93
Sexual Abuse,Pinilit niya ako kahit paulit-ulit akong tumanggi; pagkatapos sinabi niya huwag ko daw ikwento.,Tagalog,Critical,94,P1,No,No,96
Elder Abuse,Pinapagalitan ang lolo at pinipilit ibigay ang pension; nagiging tahimik na lang siya.,Tagalog,High,80,P1,No,No,92
Physical Abuse,Tinulak niya ako at nagkaroon ako ng pasa; natakot ako kaya lumapit ako sa tanod.,Tagalog,High,82,P1,No,No,93
Psychological Abuse,Agbutengak ta agtultuloy ti panangkontrol ken panagbuteng.,Ilocano,Medium,63,P2,No,No,88
Elder Abuse,The elder is not allowed to see relatives.,English,Medium,64,P2,No,No,90
Elder Abuse,Inawat na so pensyon ya lolo ya awan so natira para ed kanya.,Pangasinan,High,78,P2,No,No,87
Physical Abuse,Sinampal niya ako sa harap ng kapitbahay.,Tagalog,High,83,P1,No,No,94
Physical Abuse,He hit my shoulder and warned me not to tell anyone.,English,High,84,P1,No,No,94
Elder Abuse,The elderly relative is left unattended and ignored for long hours.,English,Medium,66,P2,No,No,90
Neglect / Acts of Omission,The baby was left unattended overnight.,English,High,81,P1,Yes,No,92
Sexual Abuse,Pinilit niya ako kahit ayaw ko at natatakot akong magsumbong.,Tagalog,Critical,94,P1,No,No,96
Economic Abuse,Pinutol niya ang sustento sa pamilya.,Tagalog,High,78,P2,Yes,No,93
Physical Abuse,He struck my arm and warned me not to tell the barangay.,English,High,86,P1,No,No,94
Economic Abuse,He hides the money and blames me for unpaid utilities.,English,Medium,60,P2,Yes,No,90
Psychological Abuse,He constantly checks my phone and accuses me falsely.,English,Medium,69,P2,No,No,91
Psychological Abuse,He isolates me from friends and constantly insults me.,English,Medium,67,P2,No,No,91
Sexual Abuse,He repeatedly pressures me despite clear refusal.,English,High,88,P1,No,No,94
Elder Abuse,The elderly father was denied medication and threatened with abandonment if he complained.,English,Critical,96,P1,No,No,98
Psychological Abuse,"Pinagbawalan niya akong lumabas, makipag-usap sa pamilya, at kinuha lahat ng komunikasyon ko.",Tagalog,Critical,94,P1,No,No,96
Physical Abuse,He pushed me against the wall during an argument and I felt pain on my shoulder.,English,High,84,P1,No,No,96
Sexual Abuse,He continues unwanted touching despite clear refusal.,English,High,89,P1,No,No,97
Sexual Abuse,Pinilit niya ako kahit umiiyak ako at natatakot.,Tagalog,Critical,95,P1,No,No,99
Psychological Abuse,He constantly threatens to ruin my reputation.,English,High,81,P1,No,No,95
Sexual Abuse,He coerced me emotionally and ignored my refusal.,English,High,88,P1,No,No,97
Elder Abuse,The elderly man was not fed properly for days.,English,Critical,93,P1,No,No,97
Psychological Abuse,Palagi niya akong tinatakot na ipapahiya sa barangay.,Tagalog,High,80,P1,No,No,95
Physical + Psychological Abuse,He slapped her repeatedly while shouting threats not to report.,English,Critical,97,P1,Yes,No,99
Physical + Economic Abuse,He beat her and demanded she hand over her savings.,English,Critical,96,P1,No,No,98
Psychological Abuse,Palagi niya akong sinasabihang wala akong kwenta.,Tagalog,Medium,66,P2,No,No,93
Economic Abuse,Pinutol niya ang sustento sa mga bata bilang parusa.,Tagalog,High,81,P2,Yes,No,95
Physical Abuse,He punched the wall and then struck the victim.,English,Critical,96,P1,Yes,No,99
Psychological Abuse,Pinagbantaan niya akong sisirain ang reputasyon ko.,Tagalog,High,80,P1,No,No,95
Sexual Abuse,He coerced intimacy and threatened violence if I reported.,English,Critical,97,P1,No,No,99
Elder Abuse,The elderly man was denied medical checkup despite illness.,English,High,84,P1,No,No,96
Sexual Abuse,He forced unwanted contact despite clear refusal.,English,Critical,96,P1,No,No,99
Physical Abuse,He struck the victim during a heated argument.,English,High,86,P1,No,No,97
Psychological Abuse,Palagi niya akong tinatakot na kukunin ang mga anak ko.,Tagalog,High,83,P1,Yes,No,96
Economic Abuse,He withholds money for utilities as punishment.,English,High,80,P2,Yes,No,95
Sexual Abuse,He coerced intimacy and ignored repeated refusal.,English,Critical,97,P1,No,No,99
Economic Abuse,Hindi nagbibigay ng panggastos kahit may trabaho.,Tagalog,High,80,P2,Yes,No,95
Sexual Abuse,Pinilit niya ako at nagbanta na sasaktan ako.,Tagalog,Critical,97,P1,No,No,99
Economic Abuse,Kinukuha niya ang buong sweldo ko at wala akong natitira.,Tagalog,High,81,P2,Yes,No,95
Elder Abuse,The elderly woman was denied her daily medication.,English,High,84,P1,No,No,96
Psychological Abuse,Pinagbantaan niya akong kukunin ang mga bata.,Tagalog,High,84,P1,Yes,No,96
Physical Abuse,Tinulak niya ako pababa ng hagdan.,Tagalog,Critical,98,P1,No,No,99
Physical + Economic Abuse,He assaulted her and demanded her entire salary.,English,Critical,98,P1,No,No,99
Sexual Abuse,He forced intimacy despite clear refusal and emotional distress.,English,Critical,97,P1,No,No,99
Neglect / Acts of Omission,Iniwan ang bata na walang pagkain buong araw.,Tagalog,High,85,P1,Yes,No,96
Sexual Abuse,Pinilit niya ako kahit umiiyak ako.,Tagalog,Critical,97,P1,No,No,99
Physical Abuse,Tinadyakan niya ako sa tagiliran habang galit.,Tagalog,High,86,P1,No,No,97
Physical Abuse,Narinig ko sa kapitbahayy ang sigawan. Nakita ko siya may nabalian ang paa sa mukha. Sinampl ako ng asawaa ko. Abuseee talaga ito.,English,Critical,99,P1,No,Yes,97
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Narinig ko sa kapitbahayy nakita ang pasa ko.,English,Critical,96,P1,Yes,No,97
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,95,P1,No,Yes,97
Physical Abuse,"Tinulak niya ako pababa ng hagdan, maraming pasa. Nakita ko sa kapitbahay.",English,Critical,98,P1,Yes,No,96
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",English,Critical,97,P1,No,Yes,99
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, nabalian ang paa. Nakita ko sa kapitbahay.",English,Critical,98,P1,Yes,Yes,97
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,99,P1,Yes,Yes,96
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",Tagalog,Critical,99,P1,Yes,No,99
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Nakita ko sa kapitbahay tumawag sa barangay.,Tagalog,Critical,94,P1,Yes,Yes,96
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",English,Critical,99,P1,No,Yes,99
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. maraming pasa. Nakita ko sa kapitbahay.,Tagalog,Critical,99,P1,No,No,96
Physical Abuse,Nakita ko sa kapitbahay ang sigawan. Nakita ko siya may dinala sa ospital sa likod. Sinampl ako ng asawaa ko. Abuseee talaga ito.,English,Critical,97,P1,Yes,Yes,96
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,94,P1,Yes,No,99
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may dinala sa ospital sa labi. Sinampl akoo ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,96,P1,Yes,No,97
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,97,P1,Yes,No,99
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,95,P1,No,Yes,97
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may nawalan ng malay sa labi. Sinampl ako ng asawaa ko. Abuseee talaga ito.,English,Critical,98,P1,Yes,No,98
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, nawalan ng malay. Kapitbahay tumawag sa tanod.",Tagalog,Critical,98,P1,No,Yes,99
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may nawalan ng malay sa ilong. Sinampl ako ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,94,P1,No,No,99
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Nakita ko sa kapitbahay.,Tagalog,Critical,95,P1,Yes,No,98
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. maraming pasa. Nakita ko sa kapitbahay.,English,Critical,96,P1,Yes,No,98
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,Tagalog,Critical,94,P1,Yes,No,99
Physical Abuse,Narinig ko sa kapitbahayy ang sigawan. Nakita ko siya may nawalan ng malay sa mukha. Sinampl ako ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,95,P1,Yes,No,99
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. may dugo sa ilong. Narinig ko sa kapitbahayy.,English,Critical,98,P1,Yes,Yes,97
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may maraming pasa sa binti. Sinampl ako ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,99,P1,Yes,No,97
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Kapitbahay tumawag sa tanod.,English,Critical,94,P1,No,Yes,98
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may nabalian ang paa sa labi. Sinampl akoo ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,94,P1,No,No,97
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Nakita ko sa kapitbahay tumawag sa barangay.,Tagalog,Critical,94,P1,Yes,Yes,99
Physical Abuse,"Tinulak niya ako pababa ng hagdan, may dugo sa ilong. Kapitbahay tumawag sa tanod.",English,Critical,99,P1,Yes,No,97
Physical Abuse,"Tinulak niya ako pababa ng hagdan, dinala sa ospital. Nakita ko sa kapitbahay.",English,Critical,96,P1,No,No,97
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Narinig ko sa kapitbahayy.,English,Critical,94,P1,Yes,No,96
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. may dugo sa ilong. Kapitbahay tumawag sa tanod.,English,Critical,97,P1,No,No,98
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",Tagalog,Critical,94,P1,No,Yes,99
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,98,P1,Yes,Yes,99
Physical + Psychological Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. nawalan ng malay. Narinig ko sa kapitbahayy.,English,Critical,99,P1,Yes,No,97
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,Tagalog,Critical,95,P1,No,No,98
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, may dugo sa ilong. Narinig ko sa kapitbahayy.",English,Critical,95,P1,Yes,No,96
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may nabalian ang paa sa tiyan. Sinampl ako ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,98,P1,Yes,No,99
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,Tagalog,Critical,94,P1,No,Yes,97
Physical + Psychological Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. nabalian ang paa. Nakita ko sa kapitbahay.,English,Critical,96,P1,No,No,96
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Nakita ko sa kapitbahay tumawag sa barangay.,English,Critical,98,P1,No,Yes,97
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Narinig ko sa kapitbahayy tumawag sa barangay.,Tagalog,Critical,96,P1,No,No,99
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Kapitbahay tumawag sa tanod.,Tagalog,Critical,99,P1,Yes,No,98
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,Tagalog,Critical,94,P1,No,No,97
Physical Abuse,"Tinulak niya ako pababa ng hagdan, may dugo sa ilong. Kapitbahay tumawag sa tanod.",Tagalog,Critical,95,P1,Yes,No,96
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Kapitbahay tumawag sa tanod.,English,Critical,98,P1,Yes,Yes,99
