Incident_Type,Incident_Description,Language,Risk_Level,Incident_Risk_Percentage,Priority_Level,Children_Involved,Weapon_Mentioned,AI_Confidence_Score
None / Invalid,My slippers disappeared and I suspect the wind took them.,English,Low,5,P3,No,No,89
None / Invalid,The door accused me of opening it too often.,English,Low,5,P3,No,No,89
None / Invalid,Sinabi ng orasan na pagod na siya.,Tagalog,Low,2,P3,No,No,86
None / Invalid,The sofa complained about being sat on.,English,Low,4,P3,No,No,89
None / Non-Abuse Report,The construction noise starts very early in the morning.,English,Low,18,P3,No,No,96
None / Non-Abuse Report,Nag-away po kami tungkol sa parking space sa tapat ng bahay.,Tagalog,Low,27,P3,No,No,94
None / Non-Abuse Report,The neighbor is drying laundry blocking the pathway.,English,Low,15,P3,No,No,96
None / Non-Abuse Report,Nagkaroon po ng sigawan sa basketball court pero wala namang nasaktan.,Tagalog,Low,18,P3,Yes,No,93
None / Non-Abuse Report,May reklamo po kami sa tambay na maingay sa gabi.,Tagalog,Low,18,P3,No,No,95
None / Non-Abuse Report,May reklamo po kami sa maingay na generator tuwing brownout.,Tagalog,Low,19,P3,No,No,95
None / Non-Abuse Report,He left the house angrily but returned later to talk calmly.,English,Medium,35,P3,Yes,No,93
None / Non-Abuse Report,We almost called it quits during the fight but reconciled.,English,Medium,39,P3,Yes,No,93
None / Non-Abuse Report,He punched the wall out of frustration but did not threaten me.,English,Medium,48,P3,No,No,90
None / Non-Abuse Report,Nagkainitan kami pero walang pananakit o pagbabanta.,Tagalog,Medium,36,P3,No,No,93
None / Non-Abuse Report,He used strong language and swore loudly but later apologized sincerely.,English,Medium,43,P3,No,No,92
None / Non-Abuse Report,Sinabi niyang aalis siya at iiwan ang lahat pero hindi iyon pagbabanta ng pananakit.,Tagalog,Medium,46,P3,No,No,90
None / Non-Abuse Report,Nagbanta la siya ya aalis siya ed bahay pero awan so physical harm.,Pangasinan,Medium,46,P3,No,No,90
None / Non-Abuse Report,Nabasag so plato idi nag-away kami pero aksidente la.,Pangasinan,Medium,49,P3,Yes,No,88
None / Non-Abuse Report,Nagtaas so kamay na pero agad din ibinaba.,Pangasinan,Medium,50,P3,No,No,88
None / Non-Abuse Report,Nag-away kami iti harap dagiti ubing ngem nagsorry met.,Ilocano,Medium,46,P3,Yes,No,91
None / Non-Abuse Report,Nagkainitan la so diskusyon mi tungkol sa utang.,Pangasinan,Medium,40,P3,No,No,94
None / Non-Abuse Report,He raised his voice aggressively but made no threats.,English,Medium,44,P3,No,No,93
None / Non-Abuse Report,Nagwalk-out siya at bumalik din pagkatapos para makipag-usap.,Tagalog,Low,35,P3,No,No,96
None / Non-Abuse Report,He said 'I will ruin you' during the argument but clarified later it was said out of anger.,English,Medium,55,P3,No,No,84
None / Non-Abuse Report,He slammed the door and cried loudly but did not threaten violence.,English,Medium,48,P3,No,No,92
None / Non-Abuse Report,May hawak siyang martilyo dahil nagkukumpuni pero kasabay ang sigawan.,Tagalog,Medium,57,P3,No,Yes,82
None / Non-Abuse Report,Hinawakan niya ang braso ng asawa niya pero agad din itong binitawan.,Tagalog,Medium,63,P3,No,No,78
