Incident_Type,Incident_Description,Language,Risk_Level,Incident_Risk_Percentage,Priority_Level,Children_Involved,Weapon_Mentioned,AI_Confidence_Score
None / Invalid,Sinuntok ng manok ang buwan kaya umiyak ang kalabaw.,Tagalog,Low,3,Third Priority (P3),No,No,88
None / Invalid,My refrigerator is angry because the rice cooker talked too much.,English,Low,2,Third Priority (P3),No,No,90
None / Invalid,Nag-away ang dalawang kaldero sa kusina tungkol sa politika.,Tagalog,Low,4,Third Priority (P3),No,No,87
None / Invalid,The electric fan threatened the television last night.,English,Low,5,Third Priority (P3),No,No,89
None / Invalid,Tinamaan ako ng flying tsinelas galing sa Mars.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,My shadow refuses to cooperate with me every morning.,English,Low,6,Third Priority (P3),No,No,90
None / Invalid,May nagreklamo na umiiyak daw ang buwan sa barangay.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The clouds are arguing loudly above our roof.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Nag-away ang dalawang pusa tungkol sa internet connection.,Tagalog,Low,4,Third Priority (P3),No,No,87
None / Invalid,My slippers disappeared and I suspect the wind took them.,English,Low,5,Third Priority (P3),No,No,89
None / Invalid,Umiiyak ang aso dahil naiinggit sa manok.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The sofa reported me for sitting too much.,English,Low,3,Third Priority (P3),No,No,90
None / Invalid,Ang kutsara ay nagalit sa tinidor kagabi.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The calendar refused to move to the next day.,English,Low,4,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng payong na ayaw na niyang mabasa.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,My mirror is copying me without permission.,English,Low,3,Third Priority (P3),No,No,89
None / Invalid,Nag-away ang dalawang silya sa sala.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The pillow complained about my sleeping position.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,May nagreklamo na umiiyak ang kaldero.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The broom threatened to sweep me away.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Nawala ang tsinelas ko dahil lumipad daw.,Tagalog,Low,4,Third Priority (P3),No,No,87
None / Invalid,The door accused me of opening it too often.,English,Low,5,Third Priority (P3),No,No,89
None / Invalid,Nag-away ang dalawang baso sa lamesa.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The microwave is jealous of the oven.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Sinabihan ako ng bubong na umalis.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,My clock stopped because it felt tired.,English,Low,4,Third Priority (P3),No,No,89
None / Invalid,Nag-away ang dalawang halaman sa bakuran.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The curtain is whispering secrets.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng kandila na ayaw na niyang matunaw.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The plate filed a complaint against the spoon.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Nag-away ang dalawang unan dahil sa kumot.,Tagalog,Low,3,Third Priority (P3),No,No,87
None / Invalid,The table refused to support my books.,English,Low,4,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng sapatos na pagod na siya.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The window is upset about the sunlight.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Nag-away ang dalawang plato sa kusina.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,My pen threatened to stop writing.,English,Low,4,Third Priority (P3),No,No,88
None / Invalid,Umiiyak ang upuan dahil sa bigat ko.,Tagalog,Low,3,Third Priority (P3),No,No,87
None / Invalid,The ceiling fan accused me of staring.,English,Low,5,Third Priority (P3),No,No,89
None / Invalid,Nag-away ang dalawang bintana.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The refrigerator declared independence.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng basurahan na ayaw na niyang magtrabaho.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The keyboard is typing by itself.,English,Low,4,Third Priority (P3),No,No,89
None / Invalid,Nag-away ang dalawang ilaw sa kisame.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The sink is jealous of the bathtub.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Umiiyak ang pader sa sala.,Tagalog,Low,3,Third Priority (P3),No,No,87
None / Invalid,The mirror refused to reflect me.,English,Low,4,Third Priority (P3),No,No,88
None / Invalid,Nag-away ang dalawang kurtina.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The spoon complained about the soup.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Sinabi ng orasan na pagod na siya.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The chair threatened to sit on me.,English,Low,4,Third Priority (P3),No,No,88
None / Invalid,Nag-away ang dalawang kutsara.,Tagalog,Low,3,Third Priority (P3),No,No,87
None / Invalid,The shoes ran away from home.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Sinabi ng payong na ayaw niyang magbukas.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The cabinet locked itself in protest.,English,Low,4,Third Priority (P3),No,No,89
None / Invalid,Nag-away ang dalawang libro sa estante.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The pillow filed a complaint about noise.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng mesa na ayaw na niyang tumayo.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The kettle is whispering to the cups.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Nag-away ang dalawang walis sa bakuran.,Tagalog,Low,3,Third Priority (P3),No,No,87
None / Invalid,The lamp refused to shine tonight.,English,Low,4,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng kisame na ayaw na niyang tumingin pababa.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The notebook complained about homework.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Nag-away ang dalawang basahan.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The alarm clock is scared of mornings.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng tasa na ayaw na niyang maglaman ng kape.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The spoon accused the fork of betrayal.,English,Low,4,Third Priority (P3),No,No,89
None / Invalid,Nag-away ang dalawang pinggan sa kusina.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The carpet complained about footsteps.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Sinabi ng sapatos na ayaw na niyang lumakad.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The door handle is jealous of the lock.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Nag-away ang dalawang kurtina tungkol sa hangin.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The spoon threatened the bowl.,English,Low,4,Third Priority (P3),No,No,89
None / Invalid,Sinabi ng bubong na gusto na niyang umalis.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The calendar skipped a day on purpose.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Nag-away ang dalawang tasa sa lamesa.,Tagalog,Low,3,Third Priority (P3),No,No,87
None / Invalid,The wall clock is hiding secrets.,English,Low,4,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng walis na ayaw na niyang maglinis.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The pillow declared a strike.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Nag-away ang dalawang kandila.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The chair accused the table of moving.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng pinto na ayaw na niyang bumukas.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The kettle refused to boil water.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Nag-away ang dalawang ilaw.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The sofa complained about being sat on.,English,Low,4,Third Priority (P3),No,No,89
None / Invalid,Sinabi ng salamin na pagod na siyang mag-reflect.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The broom and dustpan had a disagreement.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Nag-away ang dalawang baso sa kusina.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The refrigerator sang loudly at midnight.,English,Low,5,Third Priority (P3),No,No,90
None / Invalid,Sinabi ng mesa na gusto na niyang magbakasyon.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,The spoon ran away from the drawer.,English,Low,4,Third Priority (P3),No,No,89
None / Invalid,Nag-away ang dalawang upuan sa sala.,Tagalog,Low,1,Third Priority (P3),No,No,85
None / Invalid,The window argued with the curtain.,English,Low,3,Third Priority (P3),No,No,88
None / Invalid,Sinabi ng ilaw na ayaw na niyang umilaw.,Tagalog,Low,2,Third Priority (P3),No,No,86
None / Invalid,Nagkaroon po ng malakas na videoke ang kapitbahay hanggang madaling araw.,Tagalog,Low,15,Third Priority (P3),No,No,95
None / Invalid,Our neighbor parks in front of our gate blocking our driveway.,English,Low,20,Third Priority (P3),No,No,96
None / Invalid,May alitan po kami tungkol sa hangganan ng lupa.,Tagalog,Low,25,Third Priority (P3),No,No,94
None / Invalid,The tenant has not paid rent for two months.,English,Low,22,Third Priority (P3),No,No,96
None / Invalid,May reklamo po kami sa aso ng kapitbahay na maingay gabi-gabi.,Tagalog,Low,18,Third Priority (P3),No,No,95
None / Invalid,There is a dispute regarding shared water connection billing.,English,Low,28,Third Priority (P3),No,No,94
None / Invalid,Nagkainitan po kami ng kapitbahay tungkol sa basura sa harap ng bahay.,Tagalog,Low,30,Third Priority (P3),No,No,93
None / Invalid,The construction noise starts very early in the morning.,English,Low,18,Third Priority (P3),No,No,96
None / Invalid,May problema po sa drainage na nagdudulot ng baha sa amin.,Tagalog,Low,20,Third Priority (P3),No,No,95
None / Invalid,We are requesting mediation regarding unpaid borrowed money.,English,Low,25,Third Priority (P3),No,No,94
None / Invalid,Nag-away po kami tungkol sa parking space sa tapat ng bahay.,Tagalog,Low,27,Third Priority (P3),No,No,94
None / Invalid,The neighbor's tree branches extend into our property.,English,Low,22,Third Priority (P3),No,No,95
None / Invalid,May reklamo po kami sa maingay na motor tuwing gabi.,Tagalog,Low,19,Third Priority (P3),No,No,95
None / Invalid,We need assistance regarding boundary clarification.,English,Low,26,Third Priority (P3),No,No,94
None / Invalid,Nagkaroon po ng misunderstanding tungkol sa utang.,Tagalog,Low,24,Third Priority (P3),No,No,94
None / Invalid,The neighbor installed CCTV facing our window causing privacy concern.,English,Low,30,Third Priority (P3),No,No,95
None / Invalid,May reklamo po kami sa stray dogs na pumapasok sa bakuran.,Tagalog,Low,18,Third Priority (P3),No,No,96
None / Invalid,There is a complaint about improper garbage disposal.,English,Low,21,Third Priority (P3),No,No,95
None / Invalid,Nagkainitan po kami dahil sa water bill sharing.,Tagalog,Low,23,Third Priority (P3),No,No,94
None / Invalid,The neighbor is drying laundry blocking the pathway.,English,Low,15,Third Priority (P3),No,No,96
None / Invalid,May reklamo po kami tungkol sa amoy ng alagang baboy.,Tagalog,Low,20,Third Priority (P3),No,No,95
None / Invalid,We are requesting mediation for small claims debt.,English,Low,24,Third Priority (P3),No,No,94
None / Invalid,Nagkaroon po ng sigawan sa basketball court pero wala namang nasaktan.,Tagalog,Low,18,Third Priority (P3),Yes,No,93
None / Invalid,The tenant refuses to vacate after contract ended.,English,Low,27,Third Priority (P3),No,No,95
None / Invalid,May reklamo po kami sa videoke na lumalagpas sa oras.,Tagalog,Low,16,Third Priority (P3),No,No,96
None / Invalid,There is a dispute regarding shared electricity connection.,English,Low,29,Third Priority (P3),No,No,94
None / Invalid,Nag-away po kami dahil sa maling pagparada.,Tagalog,Low,22,Third Priority (P3),No,No,95
None / Invalid,We are requesting assistance for mediation regarding noise complaint.,English,Low,19,Third Priority (P3),No,No,96
