Incident_Type,Incident_Description,Language,Risk_Level,Incident_Risk_Percentage,Priority_Level,Children_Involved,Weapon_Mentioned,AI_Confidence_Score
None / Invalid,Sinuntok ng manok ang buwan kaya umiyak ang kalabaw.,Tagalog,Low,3,P3,No,No,88
None / Invalid,My refrigerator is angry because the rice cooker talked too much.,English,Low,2,P3,No,No,90
None / Invalid,Nag-away ang dalawang kaldero sa kusina tungkol sa politika.,Tagalog,Low,4,P3,No,No,87
None / Invalid,The electric fan threatened the television last night.,English,Low,5,P3,No,No,89
None / Invalid,Tinamaan ako ng flying tsinelas galing sa Mars.,Tagalog,Low,1,P3,No,No,85
None / Invalid,My shadow refuses to cooperate with me every morning.,English,Low,6,P3,No,No,90
None / Invalid,May nagreklamo na umiiyak daw ang buwan sa barangay.,Tagalog,Low,2,P3,No,No,86
None / Invalid,The clouds are arguing loudly above our roof.,English,Low,3,P3,No,No,88
None / Invalid,Nag-away ang dalawang pusa tungkol sa internet connection.,Tagalog,Low,4,P3,No,No,87
None / Invalid,My slippers disappeared and I suspect the wind took them.,English,Low,5,P3,No,No,89
None / Invalid,Umiiyak ang aso dahil naiinggit sa manok.,Tagalog,Low,2,P3,No,No,86
None / Invalid,The sofa reported me for sitting too much.,English,Low,3,P3,No,No,90
None / Invalid,Ang kutsara ay nagalit sa tinidor kagabi.,Tagalog,Low,1,P3,No,No,85
None / Invalid,The calendar refused to move to the next day.,English,Low,4,P3,No,No,88
None / Invalid,Sinabi ng payong na ayaw na niyang mabasa.,Tagalog,Low,2,P3,No,No,86
None / Invalid,My mirror is copying me without permission.,English,Low,3,P3,No,No,89
None / Invalid,Nag-away ang dalawang silya sa sala.,Tagalog,Low,2,P3,No,No,86
None / Invalid,The pillow complained about my sleeping position.,English,Low,5,P3,No,No,90
None / Invalid,May nagreklamo na umiiyak ang kaldero.,Tagalog,Low,1,P3,No,No,85
None / Invalid,The broom threatened to sweep me away.,English,Low,3,P3,No,No,88
None / Invalid,Nawala ang tsinelas ko dahil lumipad daw.,Tagalog,Low,4,P3,No,No,87
None / Invalid,The door accused me of opening it too often.,English,Low,5,P3,No,No,89
None / Invalid,Nag-away ang dalawang baso sa lamesa.,Tagalog,Low,2,P3,No,No,86
None / Invalid,The microwave is jealous of the oven.,English,Low,3,P3,No,No,88
None / Invalid,Sinabihan ako ng bubong na umalis.,Tagalog,Low,2,P3,No,No,86
