source,row_number,issue_code,severity,details,incident_type_raw,incident_description,risk_level_raw,risk_percentage_raw,priority_raw
main,175,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['Neglect / Acts of Omission'], priorities=['First Priority (P1)', 'Second Priority (P2)'], risk_spread=2.0",Neglect / Acts of Omission,Walang nagbabantay sa mga bata tuwing gabi.,High,79,Second Priority (P2)
main,229,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['Neglect / Acts of Omission'], priorities=['First Priority (P1)', 'Second Priority (P2)'], risk_spread=2.0",Neglect / Acts of Omission,Walang nagbabantay sa mga bata tuwing gabi.,High,78,Second Priority (P2)
main,289,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['Neglect / Acts of Omission'], priorities=['First Priority (P1)', 'Second Priority (P2)'], risk_spread=2.0",Neglect / Acts of Omission,Walang nagbabantay sa mga bata tuwing gabi.,Critical,80,First Priority (P1)
main,191,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['Economic Abuse'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=4.0",Economic Abuse,Hindi niya binabayaran ang renta kahit may pera siya.,Medium,59,Third Priority (P3)
main,233,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['Economic Abuse'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=4.0",Economic Abuse,Hindi niya binabayaran ang renta kahit may pera siya.,Medium,59,Third Priority (P3)
main,299,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['Economic Abuse'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=4.0",Economic Abuse,Hindi niya binabayaran ang renta kahit may pera siya.,Medium,59,Third Priority (P3)
main,402,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['Economic Abuse'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=4.0",Economic Abuse,Hindi niya binabayaran ang renta kahit may pera siya.,High,63,Second Priority (P2)
negative,368,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['None / Invalid'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=10.0",None / Invalid,May umiiyak na bata dahil sa sigawan ngunit walang pananakit.,High,68,Second Priority (P2)
negative,429,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['None / Invalid'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=10.0",None / Invalid,May umiiyak na bata dahil sa sigawan ngunit walang pananakit.,Medium,58,Third Priority (P3)
negative,507,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['None / Invalid'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=10.0",None / Invalid,May umiiyak na bata dahil sa sigawan ngunit walang pananakit.,High,60,Second Priority (P2)
negative,469,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['None / Invalid'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=3.0",None / Invalid,May umiiyak na bata dahil sa lakas ng sigawan.,Medium,57,Third Priority (P3)
negative,547,DUPLICATE_CONFLICT,high,"Duplicate description has conflicts: labels=['None / Invalid'], priorities=['Second Priority (P2)', 'Third Priority (P3)'], risk_spread=3.0",None / Invalid,May umiiyak na bata dahil sa lakas ng sigawan.,High,60,Second Priority (P2)
