source,row_number,issue_code,severity,details,incident_type_raw,incident_description,risk_level_raw,risk_percentage_raw,priority_raw
main,2,RISK_LEVEL_MISMATCH,high,"Risk 84.0 implies Critical, but row has High.",Physical Abuse,Sinampal ako ng asawa ko sa bahay matapos ang pagtatalo; nanginginig pa rin ako hanggang ngayon.,High,84,P1
main,3,RISK_LEVEL_MISMATCH,high,"Risk 88.0 implies Critical, but row has High.",Sexual Abuse,"He pressured me into intimate acts even after I said no, and I felt scared to refuse again.",High,88,P1
main,3,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,"He pressured me into intimate acts even after I said no, and I felt scared to refuse again.",High,88,P1
main,4,RISK_LEVEL_MISMATCH,high,"Risk 66.0 implies High, but row has Medium.",Psychological Abuse,Palagi niya akong minumura at pinapahiya sa harap ng ibang tao; nawawala na ang tiwala ko sa sarili.,Medium,66,P2
main,4,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,Palagi niya akong minumura at pinapahiya sa harap ng ibang tao; nawawala na ang tiwala ko sa sarili.,Medium,66,P2
main,5,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Kinuha niya ang ATM ko at hindi ako binibigyan ng pera para sa gatas ng bata.,High,78,P2
main,6,RISK_LEVEL_MISMATCH,high,"Risk 82.0 implies Critical, but row has High.",Elder Abuse,Yung lola ko sinisigawan at pinapabayaan; minsan hindi siya pinapakain ng maayos.,High,82,P1
main,7,RISK_LEVEL_MISMATCH,high,"Risk 81.0 implies Critical, but row has High.",Neglect / Acts of Omission,The children were left alone overnight with no adult supervision and little food.,High,81,P1
main,8,RISK_LEVEL_MISMATCH,high,"Risk 86.0 implies Critical, but row has High.",Physical Abuse,He pushed me hard and I hit the wall; my sister witnessed it and begged him to stop.,High,86,P1
main,9,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,Pinilit niya akong sumama sa kwarto kahit tumatanggi ako; natatakot akong magsumbong.,Critical,92,P1
main,10,RISK_LEVEL_MISMATCH,high,"Risk 64.0 implies High, but row has Medium.",Psychological Abuse,Awan ti aldaw nga saan na nga ibabain ti dignidad ko; agbutengak nga agsao.,Medium,64,P2
main,10,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,Awan ti aldaw nga saan na nga ibabain ti dignidad ko; agbutengak nga agsao.,Medium,64,P2
main,11,RISK_LEVEL_MISMATCH,high,"Risk 62.0 implies High, but row has Medium.",Economic Abuse,He controls my salary and questions every expense; he refuses to pay for medicines.,Medium,62,P2
main,11,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,He controls my salary and questions every expense; he refuses to pay for medicines.,Medium,62,P2
main,12,RISK_LEVEL_MISMATCH,high,"Risk 80.0 implies Critical, but row has High.",Elder Abuse,The elderly father is threatened and forced to hand over his pension monthly.,High,80,P1
main,13,PRIORITY_MISMATCH,high,"Risk 79.0 implies Second Priority (P2), but row has First Priority (P1).",Neglect / Acts of Omission,Pinapabayaan nila ang bata kapag may sakit; hindi dinadala sa health center.,High,79,P1
main,15,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,"He kept insisting and would not stop, even when I was crying and clearly refusing.",Critical,93,P1
main,16,PRIORITY_MISMATCH,high,"Risk 77.0 implies Second Priority (P2), but row has First Priority (P1).",Psychological Abuse,He threatens to take my kids away whenever I try to leave the house.,High,77,P1
main,16,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Psychological Abuse,He threatens to take my kids away whenever I try to leave the house.,High,77,P1
main,17,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Economic Abuse,Hindi niya ako pinapayagang magtrabaho at binabantayan niya ang phone ko kapag may customer.,High,75,P2
main,19,INVALID_LANGUAGE,medium,Language 'Mixed' is not in allowed list.,Neglect / Acts of Omission,Saan a na-bantayan so anak mi; manlapu ed alas-otso ngarem alas-dose awan so mag-asikaso.,Medium,67,P2
main,19,RISK_LEVEL_MISMATCH,high,"Risk 67.0 implies High, but row has Medium.",Neglect / Acts of Omission,Saan a na-bantayan so anak mi; manlapu ed alas-otso ngarem alas-dose awan so mag-asikaso.,Medium,67,P2
main,20,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Physical Abuse,He threw a household object near me and raised a knife to threaten me to stay quiet.,Critical,94,P1
main,21,RISK_LEVEL_MISMATCH,high,"Risk 85.0 implies Critical, but row has High.",Sexual Abuse,Pinagbantaan niya akong iiwan kung hindi ako susunod sa gusto niya sa relasyon.,High,85,P1
main,21,MAIN_ABUSE_WITHOUT_DOMESTIC_CONTEXT,high,Main dataset abuse row has no clear household/intimate/family context; it should be removed for domestic-only retraining scope.,Sexual Abuse,Pinagbantaan niya akong iiwan kung hindi ako susunod sa gusto niya sa relasyon.,High,85,P1
